Position,Code,Registration,Total Score,Language,Math,Specific
1,1504,19124941,106.3,40.7,23.2,42.4
2,1504,19139740,100.9,27.8,39.4,33.7
3,1504,19111083,98.1,21.6,56.9,19.5
4,1504,19135701,94.1,23.1,48.4,22.6
5,1504,19117301,93.6,27.1,33.5,33.0
6,1504,19126270,92.8,43.7,0.0,49.0
7,1504,19138900,90.1,27.4,34.6,28.0
8,1504,19133603,89.6,8.0,43.1,38.5
9,1504,19113955,86.4,31.8,20.7,33.9
10,1504,19134021,85.7,34.1,22.4,29.2
11,1504,19132164,84.2,16.0,28.8,39.3
12,1504,19128427,84.0,40.7,6.3,37.0
13,1504,19133775,84.0,20.5,47.9,15.6
14,1504,19131854,83.9,47.6,17.1,19.3
15,1504,19129606,83.9,28.6,17.0,38.2
16,1504,19139001,83.4,0.0,17.3,66.1
17,1504,19130237,83.2,28.3,17.2,37.6
18,1504,19105795,83.2,19.1,11.4,52.8
19,1504,19140113,82.8,23.1,34.6,25.1
20,1504,19121468,82.8,29.8,48.7,4.3
21,1504,19114344,82.5,0.0,38.0,44.5
22,1504,19125813,82.3,15.1,12.8,54.5
23,1504,19114803,82.3,30.8,16.2,35.3
24,1504,19139387,81.5,8.0,31.9,41.6
25,1504,19122439,81.4,47.2,5.1,29.1
26,1504,19107693,80.5,23.8,46.5,10.2
27,1504,19123487,79.4,49.5,12.7,17.3
28,1504,19102063,79.4,15.9,6.3,57.2
29,1504,19139767,79.2,18.3,29.3,31.6
30,1504,19113092,79.1,40.7,11.2,27.2
31,1504,19121636,79.0,8.8,13.0,57.2
32,1504,19112119,78.1,23.8,10.7,43.7
33,1504,19138753,78.1,20.5,17.0,40.6
34,1504,19127271,78.0,0.0,29.8,48.2
35,1504,19104693,77.9,38.4,17.9,21.6
36,1504,19117246,77.1,23.9,25.5,27.7
37,1504,19137015,75.8,28.6,11.2,36.0
38,1504,19108723,75.6,11.1,60.2,4.3
39,1504,19142534,75.3,34.1,11.7,29.5
40,1504,19127926,74.2,23.1,28.5,22.6
41,1504,19138916,73.6,27.8,14.4,31.4
42,1504,19145139,72.2,23.9,17.1,31.2
43,1504,19110350,72.0,15.9,20.5,35.6
44,1504,19111086,71.7,16.8,12.5,42.4
45,1504,19135954,71.6,24.7,23.4,23.6
46,1504,19106238,71.4,10.3,17.9,43.2
47,1504,19144318,70.8,21.4,9.6,39.9
48,1504,19106736,70.7,26.1,22.6,22.1
49,1504,19114079,70.6,2.3,10.9,57.4
50,1504,19134104,70.3,0.0,11.4,59.0
51,1504,19118261,70.2,23.9,9.6,36.7
52,1504,19108436,70.0,9.3,5.1,55.7
53,1504,19137837,69.9,15.1,22.2,32.6
54,1504,19102829,69.8,19.4,35.6,14.7
55,1504,19134536,69.6,2.3,17.5,49.8
56,1504,19100745,69.6,23.5,13.0,33.1
57,1504,19100101,69.3,7.0,17.6,44.8
58,1504,19128360,69.1,24.8,34.1,10.2
59,1504,19129985,68.9,23.1,20.5,25.3
60,1504,19123979,68.5,15.1,37.0,16.4
61,1504,19132369,68.4,21.6,26.9,19.9
62,1504,19143730,67.5,22.4,36.7,8.5
63,1504,19117550,67.2,0.0,31.5,35.7
64,1504,19135445,66.8,23.5,27.7,15.6
65,1504,19121490,66.7,22.4,17.1,27.2
66,1504,19133945,66.6,14.7,20.5,31.4
67,1504,19126812,66.2,14.7,27.9,23.5
68,1504,19114175,65.9,8.8,22.6,34.5
69,1504,19140273,65.6,0.0,18.8,46.8
70,1504,19143457,65.4,0.0,36.2,29.2
71,1504,19100207,65.3,10.3,6.3,48.6
72,1504,19105920,64.7,15.1,0.0,49.6
73,1504,19128346,64.5,10.3,10.9,43.3
74,1504,19119444,64.4,8.8,23.9,31.8
75,1504,19138705,64.4,23.8,6.7,33.9
76,1504,19131616,64.3,29.7,26.1,8.5
77,1504,19125549,64.1,19.1,11.2,33.9
78,1504,19130298,63.9,19.1,20.7,24.1
79,1504,19106504,63.8,19.1,9.6,35.2
80,1504,19123994,63.7,28.7,5.1,29.9
81,1504,19113057,63.5,23.1,17.6,22.9
82,1504,19128802,63.5,9.3,16.0,38.2
83,1504,19135428,63.3,35.0,15.9,12.4
84,1504,19138854,63.3,31.5,0.0,31.8
85,1504,19103309,63.1,15.9,12.8,34.4
86,1504,19114550,63.0,14.7,32.5,15.8
87,1504,19133873,62.9,29.4,10.7,22.9
88,1504,19110477,62.8,0.0,43.3,19.5
89,1504,19118492,62.4,13.6,38.2,10.6
90,1504,19119688,61.8,7.0,17.1,37.8
91,1504,19119253,61.7,27.5,10.9,23.3
92,1504,19107217,61.6,12.4,28.6,20.6
93,1504,19126670,61.5,32.7,28.8,0.0
94,1504,19136664,61.1,31.5,17.5,12.1
95,1504,19119484,61.0,0.0,27.1,33.9
96,1504,19128859,60.9,23.1,16.2,21.6
97,1504,19125981,60.7,0.0,34.1,26.6
98,1504,19126617,60.7,21.6,22.6,16.4
99,1504,19129655,60.4,0.0,18.8,41.6
100,1504,19142074,60.3,32.7,0.0,27.6
101,1504,19110826,60.2,8.0,22.6,29.6
102,1504,19138099,59.7,8.8,23.3,27.7
103,1504,19114732,59.6,8.0,17.2,34.4
104,1504,19118002,59.6,19.1,36.2,4.3
105,1504,19137706,59.6,36.3,0.0,23.3
106,1504,19100766,59.5,23.1,5.1,31.4
107,1504,19137622,59.5,11.1,21.0,27.5
108,1504,19113742,59.4,9.3,17.2,32.9
109,1504,19130739,59.2,0.0,17.3,41.9
110,1504,19132279,59.2,19.1,16.2,23.9
111,1504,19124437,59.2,19.1,35.9,4.1
112,1504,19108200,58.8,8.0,11.2,39.7
113,1504,19115602,58.8,2.3,38.6,17.9
114,1504,19139715,58.7,32.7,14.4,11.7
115,1504,19108418,58.7,2.3,19.4,37.0
116,1504,19136971,58.6,19.1,27.1,12.4
117,1504,19143073,58.5,0.0,43.3,15.1
118,1504,19108111,58.5,14.7,6.2,37.6
119,1504,19133561,58.3,14.7,11.2,32.4
120,1504,19128618,58.1,8.0,6.3,43.8
121,1504,19121777,58.1,29.4,11.2,17.5
122,1504,19127127,57.7,0.0,18.8,38.9
123,1504,19106090,57.6,15.0,0.0,42.6
124,1504,19135740,57.5,31.0,10.9,15.6
125,1504,19112320,57.5,0.0,29.8,27.7
126,1504,19104086,57.4,0.0,0.0,57.4
127,1504,19118766,57.4,0.0,42.3,15.1
128,1504,19141364,57.3,9.3,27.0,21.0
129,1504,19118386,57.2,19.1,0.0,38.2
130,1504,19112783,56.9,29.4,17.5,10.0
131,1504,19118191,56.8,15.1,6.3,35.4
132,1504,19121758,56.7,17.4,10.9,28.5
133,1504,19108057,56.7,10.3,6.7,39.7
134,1504,19140295,56.6,14.7,6.2,35.7
135,1504,19112221,56.6,15.1,19.3,22.3
136,1504,19109661,56.5,9.3,17.5,29.8
137,1504,19126375,56.4,22.0,6.2,28.3
138,1504,19135751,56.4,7.0,28.5,21.0
139,1504,19133599,56.1,8.8,30.1,17.3
140,1504,19128013,56.0,14.7,11.7,29.5
141,1504,19113808,55.8,15.1,6.3,34.4
142,1504,19144971,55.8,0.0,43.3,12.4
143,1504,19130241,55.7,0.0,23.9,31.8
144,1504,19100991,55.5,0.0,11.4,44.1
145,1504,19126550,55.4,2.3,13.0,40.1
146,1504,19101791,55.4,8.8,17.2,29.4
147,1504,19125789,55.4,8.0,4.5,42.8
148,1504,19109239,55.3,12.4,27.7,15.1
149,1504,19134964,55.2,27.1,0.0,28.1
150,1504,19141678,55.1,0.0,27.0,28.1
151,1504,19120969,55.0,0.0,23.6,31.4
152,1504,19118478,55.0,7.0,6.2,41.8
153,1504,19125091,54.8,0.0,23.9,30.9
154,1504,19106079,54.6,27.1,6.2,21.4
155,1504,19132420,54.6,8.0,6.2,40.4
156,1504,19100261,54.5,0.0,27.7,26.8
157,1504,19101266,54.3,10.3,0.0,44.0
158,1504,19132198,54.1,27.1,11.2,15.8
159,1504,19145001,54.0,15.9,21.0,17.1
160,1504,19135401,53.9,11.1,20.5,22.4
161,1504,19113727,53.7,15.0,0.0,38.7
162,1504,19110662,53.3,23.8,29.6,0.0
163,1504,19119529,53.2,21.2,0.0,32.0
164,1504,19143490,53.1,0.0,29.0,24.1
165,1504,19121537,53.0,0.0,27.2,25.8
166,1504,19124036,52.9,8.0,0.0,44.9
167,1504,19105283,52.9,9.3,33.5,10.2
168,1504,19141647,52.8,13.6,17.6,21.6
169,1504,19131666,52.8,30.9,17.5,4.3
170,1504,19144347,52.6,24.3,11.7,16.6
171,1504,19116430,52.6,27.5,4.5,20.6
172,1504,19105007,52.5,10.3,4.5,37.6
173,1504,19128655,52.4,8.8,24.2,19.5
174,1504,19100407,52.3,8.8,10.8,32.7
175,1504,19115161,52.1,0.0,30.3,21.8
176,1504,19101611,52.0,0.0,42.0,10.0
177,1504,19120210,51.9,35.7,16.2,0.0
178,1504,19136447,51.8,2.3,27.9,21.6
179,1504,19113467,51.7,31.5,15.9,4.3
180,1504,19109296,51.7,7.0,25.2,19.5
181,1504,19120431,51.6,15.7,31.5,4.3
182,1504,19128607,51.6,17.3,11.4,22.9
183,1504,19119157,51.5,8.0,6.3,37.2
184,1504,19119732,51.4,29.4,6.2,15.8
185,1504,19115135,51.3,2.3,38.8,10.2
186,1504,19134298,51.2,22.0,0.0,29.2
187,1504,19129935,51.2,8.8,21.0,21.4
188,1504,19123604,51.2,8.8,21.0,21.4
189,1504,19124590,51.0,20.6,14.4,16.0
190,1504,19131142,50.7,22.8,6.3,21.6
191,1504,19129018,50.7,17.3,23.4,10.0
192,1504,19136102,50.6,13.6,22.6,14.3
193,1504,19119213,50.3,13.6,5.1,31.6
194,1504,19113657,50.1,0.0,0.0,50.1
195,1504,19108289,50.0,2.3,37.8,10.0
196,1504,19140959,50.0,7.0,23.6,19.5
197,1504,19132324,50.0,23.1,9.6,17.3
198,1504,19124093,49.9,22.8,0.0,27.2
199,1504,19122241,49.9,7.0,15.9,27.0
200,1504,19103840,49.8,10.3,0.0,39.5
201,1504,19120716,49.7,11.1,17.2,21.4
202,1504,19102243,49.7,17.3,11.2,21.2
203,1504,19121478,49.6,0.0,10.8,38.7
204,1504,19104632,49.4,0.0,17.2,32.2
205,1504,19107907,49.4,7.0,17.1,25.3
206,1504,19143714,49.4,0.0,6.3,43.0
207,1504,19142828,49.2,23.5,4.5,21.2
208,1504,19107544,49.1,22.0,17.1,10.0
209,1504,19140107,49.0,10.3,17.1,21.7
210,1504,19137775,49.0,31.8,13.0,4.1
211,1504,19102023,48.9,29.4,9.6,10.0
212,1504,19108389,48.9,12.4,10.9,25.6
213,1504,19142869,48.8,13.6,6.3,28.9
214,1504,19131477,48.8,15.0,33.8,0.0
215,1504,19103116,48.8,28.6,0.0,20.2
216,1504,19123868,48.7,9.3,9.6,29.9
217,1504,19110141,48.6,8.0,19.1,21.4
218,1504,19141487,48.5,8.0,17.6,22.9
219,1504,19121623,48.4,26.1,6.3,16.0
220,1504,19124399,48.4,21.7,5.1,21.6
221,1504,19125696,48.4,0.0,28.2,20.2
222,1504,19129552,48.4,15.0,4.5,28.9
223,1504,19131777,48.4,16.8,0.0,31.6
224,1504,19130974,48.0,10.3,27.7,10.0
225,1504,19124338,47.9,10.3,4.5,33.1
226,1504,19105605,47.8,0.0,18.9,28.9
